id	x	y	cluster	weight<Links>	weight<Total link strength>	score<Avg year>
16s rrna	1.4082	0.7334	2	122	404	2011.961089
1960s	-0.8091	-0.3471	4	260	920	2007.723464
20th century	-0.2007	0.069	4	378	1466	2009.625488
ablation	0.099	-0.5312	1	189	498	2009.488128
abrupt	-0.19	-0.516	4	194	526	2008.765363
absorption	0.3246	0.5417	2	297	940	2007.595437
abundance	1.0353	0.244	2	818	7020	2008.576098
acceleration	-0.2179	-0.781	1	274	858	2010.334658
access	-0.2794	-0.1958	3	501	2094	2011.56924
accumulation	0.5641	-0.148	1	1028	10688	2008.145056
accumulation rates	1.2078	0.1953	2	261	852	2006.241987
accuracy	-0.8842	-0.2954	3	890	9308	2010.08255
acetate	1.2192	0.5036	2	232	830	2008.438819
acids	0.9403	0.3911	2	439	2202	2008.387645
acquisition	-0.4078	-0.4468	3	351	1222	2009.628664
actinobacteria	1.3459	0.8232	2	126	406	2013.37931
action	0.3973	-0.3798	1	339	1156	2008.283128
active layer	-0.0583	0.1149	4	1383	35290	2010.711438
active layer thickness	-0.744	0.4295	4	984	12800	2013.433476
activity	0.2331	0.085	2	1228	17542	2008.610119
adaptation	-0.4521	0.3053	3	469	2242	2009.276196
addition	0.1171	0.2226	1	1113	12464	2009.285986
administration	-1.0552	0.2495	4	217	626	2008.585608
advance	-0.4942	-0.2571	3	528	2406	2009.278139
advection	-0.4383	-0.2059	4	329	1260	2008.192895
aerial	-0.1132	-0.786	1	331	1206	2008.989071
aerial photographs	-0.3386	-0.8995	1	370	1498	2008.57197
age	0.7342	-0.2488	1	836	6852	2007.797965
aggradation	0.5049	-0.7382	1	594	3450	2008.813688
aggregates	0.935	0.4509	2	228	656	2008.541433
agreement	-0.7842	0.1443	4	820	6494	2007.890269
agriculture	0.1086	-0.2137	1	139	350	2011.68272
air	-0.6836	0.187	4	1343	36256	2008.618101
air temperature	-0.8848	0.2105	4	1103	19264	2010.069914
airborne	-0.8077	-0.0298	3	260	798	2006.453571
aircraft	-0.5135	0.4883	3	287	1076	2006.227098
al	0.6397	0.1345	2	506	2184	2007.388849
alaska	0.1958	-0.0901	1	1443	41108	2008.146234
alaskan	0.2869	0.4672	2	795	6936	2008.305085
alaskan arctic	-0.2525	0.888	2	328	1488	2010
albedo	-0.755	0.7409	4	475	2458	2009.324338
alberta	0.4014	-0.7741	1	182	560	2007.302682
algorithm	-0.9648	-0.1862	3	643	4198	2010.210584
allocation	0.1697	0.3232	1	164	440	2008.708333
alpine	-0.2562	0.7529	4	822	9520	2009.603145
alteration	0.0495	-0.3471	1	343	1152	2008.680165
altitude	-1.1389	0.2184	4	434	2264	2007.653347
america	-0.5809	-0.0616	3	650	3872	2008.697703
ammonium	1.2786	0.139	2	167	492	2006.893067
amplification	-0.1473	-0.1392	1	276	856	2010.670509
amplitude	-0.986	0.1218	4	596	3662	2008.158367
ams	0.7001	-0.6499	1	238	802	2006.890719
analyses	0.3691	-0.0687	1	1020	9712	2009.301682
analysis	-0.0656	-0.0816	3	1430	35352	2009.366286
ancient	0.895	0.0399	2	249	812	2009.677796
angle	-0.6319	-0.4102	3	306	934	2007.895326
animals	-0.026	-0.1316	3	237	696	2008.315789
annual	-0.6179	-0.6783	4	407	1824	2007.172557
annual cycle	-0.1216	1.0737	4	208	634	2007.690078
annual precipitation	0.2434	0.6207	2	367	1530	2010.141667
annual temperature	-0.7802	0.2592	4	365	1548	2008.690789
anomalies	-0.6915	0.492	4	470	2066	2009.553394
anoxia	1.2126	0.2176	2	227	678	2010.074419
anoxic	1.1458	0.5512	2	207	592	2009.582645
antarctic	-0.7559	0.3363	3	293	1010	2007.820711
antarctica	-1.0379	0.3615	3	219	720	2007.877974
antenna	-0.776	-0.3535	3	197	648	2008.064626
anthropogenic	-0.0702	-0.0323	5	257	810	2009.897004
application	-0.7136	-0.0688	3	970	9274	2010.011511
approach	-0.2996	-0.0681	3	1240	19166	2011.153242
approximation	-0.9337	0.3392	3	267	884	2008.343624
aquatic ecosystems	0.7985	-0.3023	1	408	1612	2012.219331
aquifer	-0.0797	-0.796	1	357	1730	2010.299742
archaea	1.4137	0.5194	2	212	846	2011.462687
archipelago	-0.3089	-0.2447	1	262	788	2008.970938
archives	0.083	-0.7759	1	361	1228	2012.032657
arctic	0.2363	0.0101	1	1540	66076	2009.446222
arctic alaska	0.5846	-0.2103	1	507	2482	2010.011811
arctic canada	0.0329	-0.9854	1	200	560	2007.412857
arctic climate	0.518	-0.3526	1	214	598	2010.487654
arctic ecosystems	0.6212	0.7863	2	231	758	2008.734884
arctic lakes	0.1665	-0.284	1	357	1334	2008.29697
arctic regions	-0.0858	0.7868	2	452	1866	2009.653333
arctic tundra	0.7684	0.4077	2	477	2226	2009.478365
area	-0.1751	-0.0997	3	1544	72682	2008.578401
areal	0.5067	0.3491	2	220	610	2008.079755
areal extent	0.1645	0.5244	2	350	1360	2007.510417
array	-0.0543	-0.3011	3	460	2008	2008.688032
asia	-0.7377	0.3919	4	371	1442	2010.858426
asian	-0.7807	0.7213	4	163	452	2011.471582
asl	-0.9005	-0.6604	3	138	392	2009.703863
aspect	-0.6633	-0.2544	3	507	2628	2009.986813
assemblages	1.0993	-0.1882	1	332	1242	2007.880667
assessment	-0.5487	0.1253	3	962	10082	2011.123547
assimilation	0.0562	0.8254	2	290	1012	2009.247808
association	0.3786	0.0685	2	615	2980	2009.179096
atlantic	-0.1692	-0.3526	1	173	438	2008.590945
atmosphere	0.183	0.6384	2	1170	19220	2008.501913
atmospheric carbon dioxide	0.018	0.906	4	238	788	2008.128205
atmospheric conditions	-0.7203	0.0787	4	169	430	2010.137931
atmospheric methane	0.1452	0.5722	2	340	1312	2008.173333
attention	-0.3418	0.2278	3	624	3384	2010.284583
attenuation	-0.7938	-0.108	3	213	630	2008.16198
autonomous	-0.7562	-0.123	3	153	362	2012.610778
autumn	-0.6745	0.5207	4	569	3680	2008.811221
availability	0.7204	0.112	2	919	8764	2009.56451
background	0.0173	0.3148	4	393	1368	2009.681872
backscatter	-0.9139	-0.5149	3	414	2276	2008.125292
bacteria	1.2146	0.6168	2	328	1406	2009.086536
bacterial	1.2042	0.6459	2	221	706	2009.837958
bacterial communities	1.3858	0.8009	2	156	536	2012.601134
bacteroidetes	1.3009	0.779	2	169	500	2013.892537
balance	-0.0697	0.4116	4	1169	18396	2009.168937
bands	0.7183	-0.052	2	194	490	2007.694277
banks	0.5142	-0.6807	1	329	1228	2006.786932
barrier	0.5698	-0.8835	1	209	584	2008.988387
barrow	0.1311	0.4078	2	799	7988	2008.635721
basal	0.5039	-0.2855	1	418	1602	2008.301104
baseline	-0.6066	-0.2438	3	683	4234	2011.063023
basin	-0.0334	-0.3978	1	1255	21908	2008.451393
bathymetry	-0.1134	-0.8892	1	277	930	2009.596934
bay	0.0588	-0.616	1	664	4194	2007.629364
bayesian	-0.3718	0.4365	3	288	854	2013.3809
beaufort	0.3469	-0.8445	1	275	1028	2009.491785
bed	0.1133	-1.0019	1	234	914	2008.925373
bedrock	-0.3117	-0.1534	3	463	1900	2009.117398
behavior	-0.6174	-0.35	3	499	2318	2008.780232
behaviour	-0.055	-0.837	1	317	1114	2008.035198
belowground	0.676	0.9472	2	306	1246	2011.276074
benchmark	-0.2579	0.7307	4	120	300	2012.336996
benefits	-0.6225	-0.5096	3	233	630	2011.531274
beringia	0.8399	-0.5551	1	164	528	2008.709135
beta	0.4524	0.4703	2	164	394	2008.071429
betula	0.944	-0.0079	1	205	616	2007.963087
bias	-1.0225	0.5717	4	609	4216	2011.002385
biases	-1.1506	0.5058	4	393	1994	2011.934239
bioavailability	1.1143	0.5065	2	185	518	2011.294118
biodegradation	1.1826	0.3251	2	172	464	2010.267296
biodiversity	0.0077	0.2833	3	393	1504	2012.141446
biogeochemical	1.0277	0.2598	2	274	802	2010.793578
biogeochemical cycles	0.5018	0.1694	2	333	1066	2011.855219
biogeochemical processes	0.5216	0.3466	2	375	1454	2011.568841
biogeochemistry	0.6077	0.2279	2	612	3586	2011.871515
biological processes	0.9344	0.0977	2	238	698	2009.937337
biomarkers	1.1814	0.0971	2	359	1576	2010.943441
biomass	0.7392	0.6977	2	748	6720	2008.040883
biomes	-0.0169	0.7546	2	471	2102	2011.428571
biosphere	-0.449	1.0146	4	205	634	2009.397647
birch	0.4005	-0.7082	1	261	940	2008.009398
birds	0.4394	-0.4421	1	181	512	2007.764282
black	0.785	-0.0687	2	145	408	2009.344605
body	-0.2617	-0.6361	3	912	8224	2007.977291
bog	0.4367	-0.6028	1	692	5090	2008.437269
border	0.213	0.2492	1	151	368	2007.5
boreal	0.1123	0.1256	5	1007	12626	2009.748786
boreal forest	0.3729	0.4819	5	662	5326	2009.254495
borehole	-0.9797	-0.1653	3	621	4696	2009.415205
boundary	-0.4341	-0.3659	4	740	5460	2007.239183
boundary conditions	-0.9061	0.6654	4	220	712	2007.871795
bp	0.7538	-0.5751	1	569	3536	2008.600087
breakdown	1.1608	0.5326	2	218	624	2007.162996
bryophytes	0.2728	0.7411	2	205	582	2009.103647
bubbles	-0.0681	-0.0423	3	371	1902	2007.959569
budget	-0.0692	0.5942	4	963	10294	2008.970525
buffer	0.0619	0.0505	4	256	804	2008.027778
building	-1.1788	0.0914	3	157	476	2010.464789
burial	0.8742	-0.1776	1	363	1354	2008.27451
burning	0.008	0.5366	5	215	694	2009.814558
c-13	1.0938	0.1171	2	601	3856	2011.550826
c-14	0.8916	-0.2083	1	570	3454	2006.673407
c-band	-0.8696	-0.5049	3	316	1414	2010.552846
c/n	0.9479	0.1144	2	351	1472	2008.969388
ca	1.0101	-0.1508	2	325	1168	2008.009458
ca2+	0.9925	-0.4347	1	247	778	2008.084615
calibration	-0.9203	0.042	3	637	3854	2009.197434
camera	-0.6994	-0.406	3	298	974	2010.289708
campaign	-0.419	0.2673	4	153	388	2008.901876
canada	0.1077	-0.6012	1	1292	23988	2008.358354
canadian	0.0311	-0.3127	1	696	4130	2008.213722
canopy	-0.4103	0.2805	4	406	1874	2008.318982
capabilities	-0.6527	-0.4044	3	319	1080	2010.500666
capacity	0.0263	0.2751	2	853	6744	2009.597315
cape	0.8251	-0.3234	1	310	1332	2007.560284
caps	0.2212	-0.1017	1	154	398	2008.309322
carbohydrates	1.2111	0.3188	2	234	820	2007.243067
carbon	0.5904	0.4381	2	1487	66064	2009.564589
carbon balance	0.194	0.8912	4	381	1784	2008.833333
carbon cycle	0.517	0.7252	2	633	3788	2011.26087
carbon dioxide	0.7575	0.7485	2	830	9248	2009.945455
carbon flux	0.0699	0.8656	2	519	3196	2009.377841
carbon isotopes	1.2953	0.0915	2	143	400	2010.176667
carex	0.9403	0.4156	2	274	976	2006.026667
cascade	0.7852	-0.3175	1	275	822	2009.630695
case	-0.5371	-0.2947	3	967	10036	2008.95177
catchment	0.4311	-0.6217	1	814	7424	2010.694125
cations	1.0011	-0.2958	1	413	1888	2007.423345
cause	-0.0456	0.1969	2	504	2138	2008.342905
cells	-0.4142	0.5537	3	499	2414	2008.211757
century	-0.3394	0.4057	4	1026	13310	2010.371507
ch4	0.6687	0.7264	2	1048	17824	2009.020747
chain	-0.4798	-0.4539	3	283	894	2008.08967
challenges	-0.373	-0.0366	3	812	5586	2013.058999
chamber	0.251	0.9613	2	518	3524	2007.892646
changes	-0.0758	0.1377	4	1579	103618	2009.682502
channel	-0.0346	-0.7982	1	700	4850	2008.014353
characterisation	0.2756	0.0799	2	253	684	2010.212121
characteristics	0.1272	-0.144	1	1284	22290	2008.736404
characterization	-0.1372	-0.0697	3	613	3486	2010.633346
chemical	0.8476	-0.0391	2	645	3704	2007.921949
chemical characteristics	0.9175	-0.2518	1	240	726	2007.689024
chemical composition	1.137	0.1884	2	312	1226	2008.202447
chemical properties	1.0653	0.2741	2	247	792	2009.098039
chemistry	0.9554	-0.2278	1	702	5026	2007.680636
china	-0.8017	0.2824	4	912	13104	2011.999131
chinese	-0.8485	0.837	4	184	504	2010.719298
chronology	0.8291	-0.7362	1	206	632	2008.614898
chukotka	-0.352	-0.097	3	149	394	2010.909747
ci	0.1563	0.2702	3	211	608	2010.938586
circulation	-0.6578	0.1388	4	631	4116	2008.948109
circumpolar	-0.6565	0.2946	3	628	3878	2008.280533
citation	0.4261	0.1072	1	309	1114	2010.604072
cl-	1.0188	-0.4912	1	180	520	2006.601719
class	-0.2276	0.2842	3	571	2714	2008.629702
classification	-0.3435	-0.4044	3	876	8084	2009.286924
clay	0.7704	8e-04	2	522	2642	2007.780506
climate	-0.1029	0.2233	4	1566	86282	2010.804187
climate change	-0.0589	0.0899	5	1266	23546	2011.726653
climate data	-0.7317	-0.3019	4	309	1018	2011.201149
climate models	-0.6128	0.8381	4	576	3906	2011.501132
climate system	-0.5705	0.6012	4	452	2200	2010.341853
climate variability	-0.1819	-0.2056	1	501	2096	2011.231434
climate warming	-0.0571	0.7805	2	556	3318	2012.926087
climatic conditions	0.2632	0.0237	1	567	2796	2010.008439
climatic factors	-0.5765	0.1527	4	207	700	2010.011905
climatology	-1.0003	0.2732	4	262	896	2008.664945
closure	-0.5883	0.187	4	225	786	2008.433779
cloud	-1.028	0.0257	3	351	1352	2007.587105
cluster	0.062	-0.2372	3	363	1458	2009.267877
cmip5	-1.0255	0.8727	4	405	2520	2015.851097
co	0.7918	-0.2421	1	243	716	2007.665527
co2	0.6078	0.8078	2	1132	22714	2009.235732
coast	0.2109	-0.5375	1	717	4680	2007.916968
coastal	0.3233	-0.3896	1	908	8458	2008.750196
coastal areas	0.099	0.4534	2	158	416	2008.556848
coastal erosion	0.3813	-0.687	1	391	1438	2011.756757
coastline	0.5056	-0.4517	1	348	1186	2009.082534
coefficients	-0.3325	0.4831	4	366	1284	2007.85666
coherent	-0.4134	-1.1307	3	181	526	2008.626866
cold	-0.5121	0.0544	4	611	3712	2009.295106
cold climate	0.1129	-0.04	4	143	360	2008.782407
cold environments	-0.4031	0.1131	3	164	382	2011.933993
cold regions	-1.0104	-0.0079	4	699	5952	2011.787565
cold season	-0.5134	0.4422	4	436	2026	2011.497817
collaboration	-0.7061	-0.0101	3	140	342	2011.526627
collapse	0.9631	0.0214	2	576	3366	2009.31737
collection	-0.0047	-0.2486	3	379	1392	2009.184687
colour	0.7049	-0.5864	1	151	414	2007.538283
column	0.5616	0.3082	2	748	5820	2007.520529
combustion	0.6547	0.7327	5	248	980	2008.365967
community	0.5141	0.4246	2	1185	17474	2010.388476
community structure	1.2702	0.6941	2	137	424	2009.920304
compaction	0.2992	-0.5204	1	318	1140	2009.714724
comparative analysis	-0.1364	0.3164	4	182	520	2010.562069
comparison	-0.4713	0.1194	3	1107	13748	2007.950757
compensation	-0.7193	0.5504	3	182	476	2007.767361
competition	-0.0388	0.2841	1	187	482	2008.582677
compilation	-0.45	0.1684	3	189	542	2010.398754
complex	0.2303	-0.0825	1	880	6876	2008.626599
composition	0.838	0.1073	2	1087	13142	2008.609526
compounds	1.0815	0.3183	2	405	1896	2008.606591
computer	-0.9791	-0.1344	3	167	466	2006.919266
concentrations	0.707	0.1613	2	1178	19372	2008.182298
concept	-0.2126	-0.1319	3	315	1096	2009.039852
conceptual model	0.8789	-0.4616	1	356	1226	2009.793413
concerns	-0.248	-0.2124	3	405	1416	2011.148773
condition	-1.0436	-0.1185	4	649	4630	2008.989432
conductivity	-0.2353	0.1607	4	1019	13340	2008.252422
configuration	-0.4906	-0.3271	4	424	1690	2009.544
connectivity	0.4206	-0.8231	1	560	3478	2013.917665
consequences	0.1586	-0.3905	1	813	6012	2010.388946
conservation	-0.5694	0.667	4	260	726	2011.195486
consistency	0.3569	0.0184	2	246	746	2009.971397
constituents	0.9834	-0.3246	1	207	634	2006.951372
constraints	-0.1102	0.5291	3	449	1876	2009.183622
construction	-0.7117	-0.0019	3	531	2800	2009.416124
consumption	0.8472	0.6568	2	347	1348	2007.642994
contact	-0.3285	-0.8161	1	237	762	2008.053198
contamination	0.1797	-0.4263	1	183	434	2008.17103
content	0.1787	0.1829	4	1375	32010	2008.566458
context	0.4011	-0.1014	1	801	5154	2011.030192
continent	-0.6208	0.7359	4	186	528	2008.964696
continental	0.2887	-0.3137	1	157	382	2008.05522
continuous	0.0041	-0.0113	3	354	1278	2008.375887
continuous permafrost	-0.1951	-0.3691	1	732	4950	2010.502488
contraction	0.1355	-0.7592	1	335	1090	2008.338174
contrast	0.4106	0.1311	2	1048	9786	2008.536194
control	0.3787	0.3406	2	1189	19762	2009.125056
convection	-0.4896	-0.38	4	216	700	2007.398389
convergence	-0.1827	0.5084	3	141	332	2008.020145
conversion	0.345	-0.2179	1	291	922	2007.330144
cooling	-0.5573	0.3394	4	668	4562	2008.320685
copyright	-0.1704	-0.6347	1	1141	17136	2007.992246
core	0.8227	-0.3704	1	898	9050	2007.967995
correction	-0.6116	0.3412	3	277	848	2008.598508
correlation	-0.0852	0.4491	2	1022	11412	2008.606178
correlation analysis	-1.1822	0.5002	4	175	548	2011.239796
correlation coefficient	-1.0138	0.8351	4	180	474	2010.154098
correspondence	0.3723	0.07	1	386	1628	2007.499487
corridor	-0.6252	-0.6391	3	407	1868	2010.096154
costs	-0.7091	0.3141	3	328	1176	2009.673817
coupling	-0.8067	0.6723	4	621	4208	2010.327135
covariance	-0.0724	0.9042	2	570	4054	2010.7125
cover	-0.4153	0.0323	4	1338	30878	2009.332353
coverage	-0.1608	0.0738	3	874	6988	2010.04391
cr	0.2503	0.3269	2	156	388	2008.550617
cracks	-0.1598	-0.8073	1	307	1054	2008.515571
crater	0.2102	-0.5671	1	162	432	2008.471119
creek	0.1603	-0.7695	1	511	2506	2007.130268
creep	0.2366	-1.0016	1	152	422	2007.349296
criteria	-0.2378	-0.0625	3	241	738	2008.509297
crown	-0.2712	-0.3759	3	414	1758	2010.518438
cryosphere	-0.8052	0.0798	3	502	2534	2012.880689
cryoturbation	0.8959	-0.0382	2	541	3168	2009.054217
current	-0.2822	0.3922	3	432	1564	2008.021581
current climate	-0.6943	0.9003	4	189	576	2011.142045
cyanobacteria	1.2892	0.5884	2	156	506	2009.273279
cycle	0.373	0.4302	2	1357	31134	2009.115632
da	-1.2141	-0.2313	3	176	590	2010.493103
damage	-0.4457	-0.2583	3	415	1658	2009.428672
data	-0.456	-0.0507	3	1525	64816	2008.849817
database	-0.4863	0.3355	3	648	4566	2011.009739
dataset	-0.8434	-0.0631	3	603	3214	2012.492063
