id	x	y	cluster	weight<Links>	weight<Total link strength>	score<Avg year>
1960s	0.0509	0.8581	5	269	964	2007.723464
1970s	0.1837	1.1761	3	151	424	2008.301205
20th century	0.2643	0.646	5	471	2670	2009.625488
ablation	0.1869	0.3227	3	1095	23258	2009.488128
ablation zone	0.0586	-0.3228	6	700	6684	2011.603659
absorption	0.1474	-0.2102	4	221	670	2007.595437
abundance	0.5662	-0.0437	4	284	870	2008.576098
acceleration	0.6472	0.1204	2	945	14710	2010.334658
access	-0.4241	-0.4176	1	541	2776	2011.56924
accumulation	-0.2978	0.5737	3	1085	22634	2008.145056
accumulation rates	-0.2491	0.5882	3	439	2526	2006.241987
accuracy	-0.8885	-0.2042	1	940	12412	2010.08255
acquisition	-0.8701	-0.2656	1	421	1988	2009.628664
activation	-0.5973	-0.4261	6	170	438	2007.091503
activity	0.4864	-0.2299	4	770	5444	2008.699084
adaptation	-0.2034	0.2129	1	178	512	2009.276196
addition	0.1302	0.0275	4	930	9014	2009.285986
adjustment	-0.4404	-0.1529	2	532	3352	2010.059972
administration	-0.9319	-0.1221	1	282	1132	2008.585608
advance	0.5517	-0.1223	5	793	8698	2009.278139
advection	0.4447	0.6284	3	511	2874	2008.192895
aerial	-0.6398	-0.2692	1	163	508	2008.989071
aerial photographs	-0.4742	0.0409	5	362	1852	2008.57197
age	0.5062	0.4677	5	649	5636	2007.797965
agency	-1.1109	-0.0308	1	314	1292	2011.612195
aggregates	-0.6426	-0.2152	1	194	568	2008.541433
agreement	-0.3735	0.1408	1	958	11290	2007.890269
air	-0.0923	0.7653	3	1044	17586	2008.618101
air temperature	-0.2294	0.692	3	733	6580	2010.069914
airborne	-1.017	-0.5463	1	473	2870	2006.453571
aircraft	-0.7138	-0.4615	1	376	1588	2006.227098
al	-0.2498	-0.473	2	424	1720	2007.388849
alaska	0.1791	-0.1126	5	931	12044	2008.146234
alaskan	0.243	0.4473	5	418	1734	2008.305085
albedo	-0.1312	1.0038	3	696	7102	2009.324338
algorithm	-0.7993	-0.2228	1	861	8626	2010.210584
alpine	-0.2433	-0.287	1	534	2732	2009.603145
alps	-0.8742	0.0793	1	469	2556	2009.971568
alternative	-0.3085	-0.5695	6	327	1128	2009.029126
altimeter	-1.0696	-0.3741	1	645	6426	2007.65536
altimetry	-1.0742	-0.0737	1	848	11916	2010.533333
altitude	-0.2047	0.7016	5	674	5726	2007.653347
america	-0.0837	0.4619	5	447	2160	2008.697703
amo	0.3425	1.0513	3	177	552	2014.846667
amoc	0.9062	0.6167	4	154	556	2014.607664
amplification	0.6977	0.9381	3	182	514	2010.670509
amplitude	-0.2704	-0.4166	2	585	3906	2008.158367
amsr-e	-1.119	0.1768	1	152	486	2012.196262
analyses	-0.2425	0.0667	1	735	5294	2009.301682
analysis	-0.28	-0.0307	1	1278	29520	2009.366286
andes	-0.3266	0.7164	5	202	638	2009.818937
angle	-0.4036	-0.3108	1	356	1328	2007.895326
anisotropy	-0.4501	-0.9428	2	182	448	2007.8981
annual	-0.4033	0.7142	3	429	2040	2007.172557
annual cycle	0.3952	0.5193	4	189	582	2007.690078
annual precipitation	0.0551	1.1337	3	189	596	2010.141667
anomaly	0.1991	0.755	3	818	7950	2009.553394
antarctic	-0.2939	0.1037	1	1022	13136	2007.820711
antarctic ice sheet	-0.6638	0.2676	1	252	860	2011.123173
antarctic peninsula	-0.3993	0.0273	1	548	3364	2009.392737
antarctica	-0.3744	-0.3263	1	1032	14222	2007.877974
antenna	-0.8394	-0.3268	1	175	520	2008.064626
ap	-0.9486	0.2564	1	198	598	2010.486364
application	-0.6375	-0.0574	1	961	11706	2010.011511
approach	-0.5034	-0.1186	1	1157	19680	2011.153242
approximation	-0.2301	-0.535	2	417	2016	2008.343624
aquifer	-0.4694	-1.071	6	311	1762	2010.299742
archipelago	-0.2713	0.9453	3	534	3568	2008.970938
architecture	-0.6826	-0.3417	1	221	648	2010.12995
archives	-0.7327	0.1817	1	301	1040	2012.032657
arctic	0.1117	0.5134	3	1163	22420	2009.446222
arctic archipelago	-0.0702	1.1676	3	300	1294	2009.927203
arctic canada	-0.5286	0.6586	5	321	1364	2007.412857
area	-0.2872	0.1919	1	1365	58056	2008.578401
areal extent	0.4709	0.278	5	249	826	2007.510417
arm	0.5543	0.4247	5	168	420	2008.328671
array	0.0131	-0.9072	2	384	1514	2008.688032
arrival	0.742	-0.481	4	256	796	2007.878924
asia	-0.7483	0.7409	1	223	788	2010.858426
aspect	-0.3338	0.0021	1	453	2042	2009.986813
assessment	-0.4351	0.223	1	985	11762	2011.123547
assimilation	-0.4837	0.5694	1	295	1016	2009.247808
association	-0.0922	0.3326	3	268	886	2009.179096
aster	-0.8411	0.3771	1	529	3988	2012.45977
asymmetry	0.8582	0.1056	4	167	420	2008.648336
atlantic	0.7568	0.4963	4	897	11396	2008.590945
atlantic multidecadal oscillation	0.4032	1.0234	3	199	706	2014.897436
atlantic oscillation	0.3718	1.0715	3	430	2842	2010.686288
