id	x	y	cluster	weight<Links>	weight<Total link strength>	weight<Keyword count>	score<Avg year>
above-ground biomass	-0.0564	-0.9106	1	74	158	2	2014.6
absorption	-0.1162	0.2222	1	81	172	2	2011.930081
abundance	0.6367	0.3066	2	57	124	2	2012.159769
access	-0.329	-0.4482	1	170	396	4	2013.769679
accumulation	-0.1483	-0.9781	1	89	198	2	2011.1675
accuracy	0.4034	0.1115	2	1114	9534	112	2012.031588
acquisition	0.2306	-0.4409	1	409	1338	14	2012.112069
active contours	-0.1444	0.7359	2	83	182	2	2011.857143
active layer	0.7084	-0.8192	3	158	408	5	2012.332634
active layer depth	0.9393	-0.8887	3	96	226	2	2011.505882
active learning	0.9704	0.5624	2	87	268	3	2017.333333
active microwave	0.3884	-0.3523	1	104	220	2	2013.454545
activity	0.1475	-0.4064	1	331	926	10	2011.741747
addition	0.3199	0.3898	2	568	2550	31	2012.072879
adelie	-0.3411	0.8726	2	100	214	2	2010.903226
adjustment	-0.155	-1.1095	1	80	172	2	2011.543956
advance	-0.0293	0.2706	2	151	340	4	2012.223684
advanced microwave scanning radiometer	-0.5199	0.1262	1	130	362	4	2011.973684
aerial	0.7161	-0.7034	3	127	298	3	2012.465517
aerial photography	0.4576	-0.6015	3	82	178	2	2010.65
age	0.4885	0.0114	2	113	278	4	2010.368729
agency	-0.0686	-0.2803	1	270	776	8	2012.539216
agreement	-0.2157	-0.2289	1	465	1728	17	2010.554303
agriculture	0.4781	0.0497	1	154	340	3	2013.323232
aic	-0.0131	1.8755	2	34	150	3	2007.5
air	-0.5214	-0.0315	1	144	358	4	2011.976061
air temperature	-0.6626	-0.1927	1	117	288	3	2012.218924
airborne	0.4385	-0.6692	3	113	268	3	2011.99435
airborne radar	-0.1626	-0.2096	1	114	274	3	2012.707317
airborne sar	-0.3908	-0.2792	1	99	256	3	2008
aircraft	0.0226	-0.6337	3	174	408	4	2010.584541
airsar	0.6321	0.8921	2	63	148	2	1992.5
ais	-0.4077	0.8222	1	102	264	3	2014.4625
ais data	-0.3435	0.9479	1	72	158	2	2013.666667
akaike information criterion	-0.0139	1.8755	2	34	150	3	2012.461538
al	0.5797	0.5154	2	177	556	7	2010.555118
alarm	-0.0045	0.6211	2	193	482	5	2015.3125
alaska	0.1168	-0.5837	1	183	458	7	2010.597746
albedo	-0.0955	-0.3587	2	143	356	4	2012.060567
alberta	0.3281	-0.4621	1	88	180	2	2009.846154
algorithm	0.2113	0.3906	2	1100	8530	102	2011.916828
allocation	0.7871	-0.5308	3	73	154	2	2012.932584
alos	-0.1276	-0.7795	1	201	552	6	2014.1
alos palsar	0.1505	-0.7916	3	138	354	4	2014.961538
alos-2	-0.2802	-0.4621	1	124	288	3	2016.25
alpha	-0.1875	-0.2425	1	169	464	6	2010.514493
alternative	0.7156	-0.176	3	131	290	3	2011.356436
altimeter	-0.5812	-0.7393	1	181	454	4	2009.018667
altimetry	-0.7078	-0.7688	1	282	974	9	2011.731674
american	-0.174	0.1688	1	90	194	2	2010.565574
amplitude	0.038	1.1973	2	160	468	7	2010.372165
amplitude statistics	-0.0144	1.8586	2	31	108	2	2003
amsr-2	-0.4793	0.9505	2	81	198	2	2016
amsr-e	-0.3672	-0.4705	1	92	214	2	2012.081633
amsr2	-1.06	0.1196	1	88	196	2	2017.083333
analogue	0.4351	1.0014	2	26	58	2	2011.282609
analysis	0.1749	0.0589	2	1333	12424	146	2011.656462
